sku,nome,categoria,preco
3082157,Notebook Asus ZenBook UX482EA-DS71T Intel i7-1165G7 8GB 512GB SSD 14.0 Touch FH,Notebook,1575.00
3082140,Notebook Asus ZenBook UX482EAR-EB51T Intel i5-1155G7 8GB 512GB SSD 14.0 Touch F,Notebook,1215.00
3056332,Notebook Chuwi CoreBook Pro Intel Core i3-6157U 8GB 256GB SSD 13.3 HD W10,Notebook,412
3223871,Notebook Dell 15 i3515-A706BLK AMD Ryzen 5 3450U 8GB 256GB SSD 15.6 HD W11,Notebook,420
2755144,Notebook Dell 3000-3505 AMD Ryzen 7 3700U 8GB 512GB SSD 15.6 FHD W10,Notebook,625
3293416,Notebook Dell G5 15 5511 Intel i7-11800H 8GB 512GB SSD RTX 3050 4GB 15.6 FHD W1,Notebook,1105.00
3191316,Notebook Dell G5520-7938GRE Intel i7-12700H 16GB 512GB SSD RTX 3060 6GB 15.6 FH,Notebook,1425.00
3306758,Notebook Dell i3511-5829BLK i5-1135G7 8GB 256GB SSD 15.6 FHD W11,Notebook,467
3137307,Notebook Dell Inspiron 13 i5310-5682SLV Intel i5-11320H 16GB 512GB SSD 13.3 FHD,Notebook,650
2938448,Notebook Dell Inspiron 15 3000-3511 Intel i7 de 11a 12GB 512GB SSD 15.6 FHD W10,Notebook,880
2612430,Notebook Dell Inspiron 15 3501 com Intel i5-1135G7 2.4GHz de 11a 8GB 256GB SSD 1,Notebook,499
3132050,Notebook Dynabook Tecra A-30-PSZ20U-2DM01P Celeron 5205U 4GB 128GB 13.3 FHD W10,Notebook,195
2692913,Notebook EVOO EV-C-116-7BL Intel Celeron N4000 4GB 64GB eMMC 11.6 HD W10,Notebook,159.75
2715995,Notebook EVOO EVC141-12SL AMD Ryzen 5 3500U 8GB 256GB SSD 14.1 FHD W10,Notebook,425
2445359,Notebook Gaming Asus G512LI-BI7N10 i7 de 10a 8GB 512GB SSD GTX 1650 Ti 4GB 15.6,Notebook,1115.00
2960029,Notebook Gaming Asus GU603HE-211.ZM16 i7 16GB 512GB SSD RTX 3050 Ti 4GB 16.0 WU,Notebook,1298.00
3026366,Notebook Gaming Dell G15RE-A951GRY AMD R5 5600H 8GB 512GB SSD RTX 3050 4GB 15.6,Notebook,767
3083444,Notebook Gaming Dell G5 15 5515 AMD R5 5600H 8GB 256GB SSD RTX 3050 4GB 15.6 FH,Notebook,880
3289303,Notebook Gaming HP 15-fa0025nr Intel i5-12500H 8GB 512SSD RTX3050 4GB 15.6 FHD,Notebook,765
3275825,Notebook Gaming HP 15-fa0032dx Intel i7-12650H 16GB 512SSD RTX3050 Ti 4GB 15.6,Notebook,970
3060780,Notebook Gaming HP 16-d0023dx Intel Core i5-11400H 8GB 256SSD RTX3050 4GB 16.1,Notebook,760
3067888,Notebook Gaming MSI 15 A12UE-605US i7 de 12a 16GB 1TB SSD RTX3060 6GB 15.6 FHD,Notebook,1212.00
